tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N3|2344b|EPI_ISL_393518|unknown_avian|iran|23_13_23_2_15_21_3_14|2019-03-30,H5N3,EPI_ISL_393518,A/Avian/Iran/38AMA/2019,2019-03-30,2019-03,2019,avian other,unknown avian,NA,NA,NA,NA,wild,other,southern asia,iran,irn,32.5092139996448,54.4699733871232,NA,NA,NA,NA,NA,NA,23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,2344b,2019-03-30,cluster003,FALSE
H5N6|2344b|EPI_ISL_6772738|galliformes|china|21_6_16_1_8_10_1_9|2021-08,H5N6,EPI_ISL_6772738,a/chicken/guangdong/211064-3/2021,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong Province / NA / NA,NA,21_6_16_1_8_10_1_9,H5N6/2021/R9_Asia,2344b,2021-08,cluster001,FALSE
H5N6|2344b|EPI_ISL_6772739|galliformes|china|21_6_16_1_8_10_1_9|2021-08,H5N6,EPI_ISL_6772739,a/chicken/guangdong/211064-4/2021,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong Province / NA / NA,NA,21_6_16_1_8_10_1_9,H5N6/2021/R9_Asia,2344b,2021-08,cluster001,FALSE
H5N6|2344b|EPI_ISL_6772759|galliformes|china|21_6_16_1_8_10_1_9|2021-08,H5N6,EPI_ISL_6772759,a/chicken/guangdong/211064-5/2021,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong Province / NA / NA,NA,21_6_16_1_8_10_1_9,H5N6/2021/R9_Asia,2344b,2021-08,cluster001,FALSE
H5N6|2344b|EPI_ISL_6772898|anseriformes|china|3_2_3_1_3_7_1_2|2021-08,H5N6,EPI_ISL_6772898,a/goose/guangdong/211106-2/2021,NA,2021-08,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong Province / NA / NA,NA,3_2_3_1_3_7_1_2,H5N6/2021/R7_Asia,2344b,2021-08,cluster001,FALSE
H5N8|2344b|EPI_ISL_7379463|anseriformes|china|3_2_3_1_3_2_1_2|2021-01,H5N8,EPI_ISL_7379463,a/goose/henan/21028/2021,NA,2021-01,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,henan,cn.he,33.8761853651454,113.614527263456,Asia / China / Henan Province / NA / NA,NA,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_7379464|anseriformes|china|3_2_3_1_3_2_1_2|2021-01,H5N8,EPI_ISL_7379464,a/duck/sichuan/21044-2/2021,NA,2021-01,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,Asia / China / Sichuan Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_7379465|anseriformes|china|3_2_3_1_3_2_1_2|2021-01,H5N8,EPI_ISL_7379465,a/goose/henan/21056-2/2021,NA,2021-01,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,henan,cn.he,33.8761853651454,113.614527263456,Asia / China / Henan Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_7379509|anseriformes|china|3_12_3_1_3_2_1_2|2021-01,H5N8,EPI_ISL_7379509,a/duck/guangdong/21057/2021,NA,2021-01,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong Province / NA / NA,NA,3_12_3_1_3_2_1_2,H5N8/2021/R10_Asia,2344b,2021-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_7380253|anseriformes|china|3_12_3_1_3_2_1_2|2021-02,H5N8,EPI_ISL_7380253,a/goose/jiangsu/21153-2/2021,NA,2021-02,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangsu,cn.js,32.9645721858222,119.470797338049,Asia / China / Jiangsu Provice / NA / NA,NA,3_12_3_1_3_2_1_2,H5N8/2021/R10_Asia,2344b,2021-02,cluster001,FALSE
H5N6|2344b|EPI_ISL_7457654|galliformes|china|3_2_3_1_3_7_1_2|2021-08,H5N6,EPI_ISL_7457654,a/chicken/guangdong/211106-3/2021,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong Province / NA / NA,NA,3_2_3_1_3_7_1_2,H5N6/2021/R7_Asia,2344b,2021-08,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273441|accipitriformes|japan|7_1_5_2_3_3_1_2|2021-03-03,H5N8,EPI_ISL_1273441,a/eastern_buzzard/tochigi/090311t/2021,2021-03-03,2021-03,2021,Aves,accipitriformes,accipitridae,buteo japonicus,eastern buzzard,TRUE,wild,other,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tochigi,jp.tc,36.6894768729176,139.818920628006,Asia / Japan / Tochigi / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2021-03-03,cluster001,FALSE
H5N8|2344b|EPI_ISL_1240997|accipitriformes|japan|7_1_5_2_3_3_1_2|2021-03-03,H5N8,EPI_ISL_1240997,a/eastern_buzzard/tochigi/090311c/2021,2021-03-03,2021-03,2021,Aves,accipitriformes,accipitridae,buteo japonicus,eastern buzzard,TRUE,wild,other,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tochigi,jp.tc,36.6894768729176,139.818920628006,Asia / Japan / Tochigi / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2021-03-03,cluster001,FALSE
H5N8|2344b|EPI_ISL_2932612|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-22,H5N8,EPI_ISL_2932612,a/goose/kazakhstan/7-20-b-talg-12/2020,2020-09-22,2020-09,2020,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,north kazakhstan,kz.nk,53.8421826489217,69.2722074369824,"Asia / Kazakhstan / North Kazakhstan / Ayyrtausky district, Arykbalyk, Agymtai batyr village / NA",H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-09-22,cluster001,FALSE
H5N8|2344b|EPI_ISL_2932600|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-01,H5N8,EPI_ISL_2932600,a/goose/kazakhstan/4-190-20-b-h5n8-1/2020,2020-09-01,2020-09,2020,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,almaty,kz.aa,44.9554808695858,77.9603747475348,"Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA",H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-09-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_7380500|anseriformes|china|3_2_3_1_3_2_1_2|2021-02-01,H5N8,EPI_ISL_7380500,a/goose/shandong/21153-3/2021,2021-02-01,2021-02,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,shandong,cn.sd,36.3536638777003,118.136153809721,Asia / China / Shandong Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-02-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555536|charadriiformes|china|3_2_3_1_3_2_1_2|2020-11-16,H5N8,EPI_ISL_2555536,a/chlidonias_hybrida/hubei/55/2020,2020-11-16,2020-11,2020,Aves,charadriiformes,laridae,chlidonias hybrida,whiskered tern,TRUE,wild,charadriiformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-16,cluster001,FALSE
H5N8|2344b|EPI_ISL_2932619|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-23,H5N8,EPI_ISL_2932619,a/swan/kazakhstan/1-267-20-b-talg-52/2020,2020-09-23,2020-09,2020,Aves,anseriformes,anatidae,cygnus sp.,swan sp.,TRUE,wild,anseriformes-wild,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,aqmola,kz.am,51.7623557428944,69.9739209295215,"Asia / Kazakhstan / Akmola / Birzhan sal district, Baymyrza, Shoshkaly lake / NA",H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-09-23,cluster001,FALSE
H5N8|2344b|EPI_ISL_2932614|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-21,H5N8,EPI_ISL_2932614,a/swan/kazakhstan/9-20-b-talg-39/2020,2020-09-21,2020-09,2020,Aves,anseriformes,anatidae,cygnus sp.,swan sp.,TRUE,wild,anseriformes-wild,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,north kazakhstan,kz.nk,53.8421826489217,69.2722074369824,"Asia / Kazakhstan / North Kazakhstan / Mamlyutsky district, Mamlyutsky, Mamlyutka village / NA",H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-09-21,cluster001,FALSE
H5N8|2344b|EPI_ISL_978916|anseriformes|japan|3_2_3_1_3_2_1_2|2021-02-01,H5N8,EPI_ISL_978916,a/mute_swan/ibaraki/080203t/2021,2021-02-01,2021-02,2021,Aves,anseriformes,anatidae,cygnus olor,mute swan,TRUE,wild,anseriformes-wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,ibaraki,jp.ib,36.3027610877484,140.318971903473,Asia / Japan / Ibaraki / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-02-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_978915|anseriformes|japan|3_2_3_1_3_2_1_2|2021-02-01,H5N8,EPI_ISL_978915,a/mute_swan/ibaraki/080203c/2021,2021-02-01,2021-02,2021,Aves,anseriformes,anatidae,cygnus olor,mute swan,TRUE,wild,anseriformes-wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,ibaraki,jp.ib,36.3027610877484,140.318971903473,Asia / Japan / Ibaraki / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-02-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555543|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-12,H5N8,EPI_ISL_2555543,a/cygnus_columbianus/hubei/50/2020,2020-11-12,2020-11,2020,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-12,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555542|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-12,H5N8,EPI_ISL_2555542,a/cygnus_columbianus/hubei/51/2020,2020-11-12,2020-11,2020,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-12,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555541|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-16,H5N8,EPI_ISL_2555541,a/cygnus_columbianus/hubei/52/2020,2020-11-16,2020-11,2020,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-16,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555538|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-16,H5N8,EPI_ISL_2555538,a/cygnus_columbianus/hubei/53/2020,2020-11-16,2020-11,2020,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-16,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555534|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-04,H5N8,EPI_ISL_2555534,a/cygnus_columbianus/hubei/56/2020,2020-11-04,2020-11,2020,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-04,cluster001,FALSE
H5N8|2344b|EPI_ISL_2555532|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-16,H5N8,EPI_ISL_2555532,a/cygnus_columbianus/hubei/116/2020,2020-11-16,2020-11,2020,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Jiangxi Province / Longgan Lake National Nature Reserve / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-11-16,cluster001,FALSE
H5N8|2344b|EPI_ISL_2932617|passeriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-15,H5N8,EPI_ISL_2932617,a/crow/kazakhstan/15-20-b-talg-4/2020,2020-09-15,2020-09,2020,Aves,passeriformes,corvidae,corvus sp.,crow/raven sp.,TRUE,wild,other,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,north kazakhstan,kz.nk,53.8421826489217,69.2722074369824,Asia / Kazakhstan / North Kazakhstan / Petropavlovsk city / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2020-09-15,cluster001,FALSE
H5N8|2344b|EPI_ISL_1241004|strigiformes|japan|7_1_5_2_3_3_1_2|2021-02-16,H5N8,EPI_ISL_1241004,a/owl/tochigi/090204t/2021,2021-02-16,2021-02,2021,Aves,strigiformes,strigidae,strigiformes sp.,owl sp.,TRUE,wild,other,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tochigi,jp.tc,36.6894768729176,139.818920628006,Asia / Japan / Tochigi / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2021-02-16,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273440|galliformes|japan|12_1_5_2_3_3_1_2|2021-03-13,H5N8,EPI_ISL_1273440,a/chicken/tochigi/5t/2021,2021-03-13,2021-03,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tochigi,jp.tc,36.6894768729176,139.818920628006,Asia / Japan / Tochigi / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2021-03-13,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273423|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-10,H5N8,EPI_ISL_1273423,a/chicken/kagawa/c2t/2020,2020-11-10,2020-11,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-10,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273422|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-10,H5N8,EPI_ISL_1273422,a/chicken/kagawa/c1t/2020,2020-11-10,2020-11,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-10,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273421|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-07,H5N8,EPI_ISL_1273421,a/chicken/kagawa/b9t/2020,2020-11-07,2020-11,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-07,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273420|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-07,H5N8,EPI_ISL_1273420,a/chicken/kagawa/b7t/2020,2020-11-07,2020-11,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-07,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273417|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-04,H5N8,EPI_ISL_1273417,a/chicken/kagawa/2t/2020,2020-11-04,2020-11,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-04,cluster001,FALSE
H5N8|2344b|EPI_ISL_1273416|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-04,H5N8,EPI_ISL_1273416,a/chicken/kagawa/10t/2020,2020-11-04,2020-11,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-04,cluster001,FALSE
H5N8|2344b|EPI_ISL_978909|galliformes|japan|12_1_5_2_3_3_1_2|2021-01-22,H5N8,EPI_ISL_978909,a/chicken/toyama/4t/2021,2021-01-22,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,toyama,jp.ty,36.6374969915777,137.269020761504,Asia / Japan / Toyama / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2021-01-22,cluster001,FALSE
H5N8|2344b|EPI_ISL_978908|galliformes|japan|12_1_5_2_3_3_1_2|2021-01-22,H5N8,EPI_ISL_978908,a/chicken/toyama/3t/2021,2021-01-22,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,toyama,jp.ty,36.6374969915777,137.269020761504,Asia / Japan / Toyama / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2021-01-22,cluster001,FALSE
H5N8|2344b|EPI_ISL_978907|galliformes|japan|12_1_5_2_3_3_1_2|2021-01-22,H5N8,EPI_ISL_978907,a/chicken/toyama/2t/2021,2021-01-22,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,toyama,jp.ty,36.6374969915777,137.269020761504,Asia / Japan / Toyama / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2021-01-22,cluster001,FALSE
H5N8|2344b|EPI_ISL_978906|galliformes|japan|12_1_5_2_3_3_1_2|2021-01-22,H5N8,EPI_ISL_978906,a/chicken/toyama/1t/2021,2021-01-22,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,toyama,jp.ty,36.6374969915777,137.269020761504,Asia / Japan / Toyama / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2021-01-22,cluster001,FALSE
H5N8|2344b|EPI_ISL_978905|galliformes|japan|3_2_3_1_3_2_1_2|2021-01-30,H5N8,EPI_ISL_978905,a/chicken/miyazaki/j6t/2021,2021-01-30,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01-30,cluster001,FALSE
H5N8|2344b|EPI_ISL_978904|galliformes|japan|3_2_3_1_3_2_1_2|2021-01-30,H5N8,EPI_ISL_978904,a/chicken/miyazaki/j4t/2021,2021-01-30,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01-30,cluster001,FALSE
H5N8|2344b|EPI_ISL_978903|galliformes|japan|3_2_3_1_3_2_1_2|2021-01-30,H5N8,EPI_ISL_978903,a/chicken/miyazaki/j3t/2021,2021-01-30,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01-30,cluster001,FALSE
H5N8|2344b|EPI_ISL_978902|galliformes|japan|3_2_3_1_3_2_1_2|2021-01-30,H5N8,EPI_ISL_978902,a/chicken/miyazaki/j12t/2021,2021-01-30,2021-01,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R2_Asia,3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2344b,2021-01-30,cluster001,FALSE
H5N8|2344b|EPI_ISL_978901|galliformes|japan|7_1_5_2_3_3_1_2|2021-02-01,H5N8,EPI_ISL_978901,a/chicken/ibaraki/8t/2021,2021-02-01,2021-02,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,ibaraki,jp.ib,36.3027610877484,140.318971903473,Asia / Japan / Ibaraki / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2021-02-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_978900|galliformes|japan|7_1_5_2_3_3_1_2|2021-02-01,H5N8,EPI_ISL_978900,a/chicken/ibaraki/7c/2021,2021-02-01,2021-02,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,ibaraki,jp.ib,36.3027610877484,140.318971903473,Asia / Japan / Ibaraki / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2021-02-01,cluster001,FALSE
