isolate_id,isolate_name,subtype,location,host,date,domestic_status,clade,date_complete,date_frac,date_year,date_year_month,date_yday,date_year_week,location_1,location_2,location_3,location_4,location_5,location_n,location_c1,location_c2,host_meta,host_order,domestic_wild,host_class,cluster_pb2,cluster_pb1,cluster_pa,cluster_ha,cluster_np,cluster_na,cluster_mp,cluster_ns,cluster_profile,profile_lab,cluster_genome
EPI_ISL_12980521,A/Chicken/Sweden/SVA210201SZ0080/FB000693-IP4/2021,H5N5,Europe / Sweden / Kalmar Lan,chicken,21/01/2022,domestic,2.3.4.4b,TRUE,2022.055,2022,2022-01,21,2022.4,Europe,Sweden,Kalmar Lan,,,sweden,sweden,sweden,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,3,1,2,1,21,34,1,2,3_1_2_1_21_34_1_2,NA,36
EPI_ISL_13009618,A/Sebastopol goose/Massachusetts/22-009371-001-original/2022,H5N1,North America / United States / Massachusetts / Berkshire County,sebastopol_goose,25/03/2022,,2.3.4.4b,TRUE,2022.227,2022,2022-03,84,2022.13,North America,United States,Massachusetts,Berkshire County,,massachusetts,massachusetts,massachusetts,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13009620,A/chicken/Maine/22-009412-001-original/2022,H5N1,North America / United States / Maine / Knox County,chicken,25/03/2022,,2.3.4.4b,TRUE,2022.227,2022,2022-03,84,2022.13,North America,United States,Maine,Knox County,,maine,maine,maine,avian,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13009634,A/guinea fowl/Maine/22-009412-002-original/2022,H5N1,North America / United States / Maine / Knox County,guinea_fowl,25/03/2022,,2.3.4.4b,TRUE,2022.227,2022,2022-03,84,2022.13,North America,United States,Maine,Knox County,,maine,maine,maine,avian,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13009636,A/chicken/Ohio/22-009419-001-original/2022,H5N1,North America / United States / Ohio / Franklin County,chicken,26/03/2022,,2.3.4.4b,TRUE,2022.23,2022,2022-03,85,2022.13,North America,United States,Ohio,Franklin County,,ohio,ohio,ohio,avian,Galliformes,domestic,Galliformes,7,4,6,1,2,1,1,1,7_4_6_1_2_1_1_1,H5N1/2022/R3_NAmerica,18
EPI_ISL_13009652,A/turkey/South Dakota/22-009534-001-original/2022,H5N1,North America / United States / South Dakota / Brule County,turkey,29/03/2022,,2.3.4.4b,TRUE,2022.238,2022,2022-03,88,2022.13,North America,United States,South Dakota,Brule County,,south_dakota,south_dakota,south_dakota,avian,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13009658,A/turkey/Iowa/22-009550-001-original/2022,H5N1,North America / United States / Iowa / Buena Vista County,turkey,29/03/2022,,2.3.4.4b,TRUE,2022.238,2022,2022-03,88,2022.13,North America,United States,Iowa,Buena Vista County,,iowa,iowa,iowa,avian,Galliformes,domestic,Galliformes,4,1,1,1,2,1,1,1,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4
EPI_ISL_13009673,A/turkey/North Carolina/22-009583-001-original/2022,H5N1,North America / United States / North Carolina / Johnston County,turkey,27/03/2022,,2.3.4.4b,TRUE,2022.233,2022,2022-03,86,2022.13,North America,United States,North Carolina,Johnston County,,north_carolina,north_carolina,north_carolina,avian,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13009677,A/turkey/North Carolina/22-009583-002-original/2022,H5N1,North America / United States / North Carolina / Johnston County,turkey,27/03/2022,,2.3.4.4b,TRUE,2022.233,2022,2022-03,86,2022.13,North America,United States,North Carolina,Johnston County,,north_carolina,north_carolina,north_carolina,avian,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13009689,A/chicken/Wyoming/22-009599-001-original/2022,H5N1,North America / United States / Wyoming / Park County,chicken,26/03/2022,,2.3.4.4b,TRUE,2022.23,2022,2022-03,85,2022.13,North America,United States,Wyoming,Park County,,wyoming,wyoming,wyoming,avian,Galliformes,domestic,Galliformes,4,1,1,1,2,1,1,1,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4
EPI_ISL_13009694,A/chicken/Wyoming/22-009599-002-original/2022,H5N1,North America / United States / Wyoming / Park County,chicken,26/03/2022,,2.3.4.4b,TRUE,2022.23,2022,2022-03,85,2022.13,North America,United States,Wyoming,Park County,,wyoming,wyoming,wyoming,chicken,Galliformes,domestic,Galliformes,4,1,1,1,2,1,1,1,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4
EPI_ISL_13026099,A/Greylag goose/Luxembourg/21217773/2021,H5N1,Europe / Luxembourg / District de Grevenmacher,greylag_goose,24/11/2021,wild,2.3.4.4b,TRUE,2021.896,2021,2021-11,328,2021.47,Europe,Luxembourg,District de Grevenmacher,,,luxembourg,luxembourg,luxembourg,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026104,A/Canada goose/Luxembourg/21217776/2021,H5N1,Europe / Luxembourg / District de Grevenmacher / Wintrange,canada_goose,24/11/2021,wild,2.3.4.4b,TRUE,2021.896,2021,2021-11,328,2021.47,Europe,Luxembourg,District de Grevenmacher,Wintrange,,luxembourg,luxembourg,luxembourg,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026105,A/Canada goose/Luxembourg/21237199/2021,H5N1,Europe / Luxembourg / District de Grevenmacher / Remerschen,canada_goose,09/12/2021,wild,2.3.4.4b,TRUE,2021.937,2021,2021-12,343,2021.5,Europe,Luxembourg,District de Grevenmacher,Remerschen,,luxembourg,luxembourg,luxembourg,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026106,A/Canada goose/Luxembourg/21239614/2021,H5N1,Europe / Luxembourg / District de Grevenmacher / Remerschen,canada_goose,10/12/2021,wild,2.3.4.4b,TRUE,2021.94,2021,2021-12,344,2021.5,Europe,Luxembourg,District de Grevenmacher,Remerschen,,luxembourg,luxembourg,luxembourg,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026236,A/Grey heron/Luxembourg/21243177/2021,H5N1,Europe / Luxembourg / District de Grevenmacher / Remerschen,grey_heron,14/12/2021,wild,2.3.4.4b,TRUE,2021.951,2021,2021-12,348,2021.5,Europe,Luxembourg,District de Grevenmacher,Remerschen,,luxembourg,luxembourg,luxembourg,avian,Pelecaniformes,wild,Avian other,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026237,A/Great cormorant/Luxembourg/21243185/2021,H5N1,Europe / Luxembourg / District de Grevenmacher / Remerschen,great_cormorant,14/12/2021,wild,2.3.4.4b,TRUE,2021.951,2021,2021-12,348,2021.5,Europe,Luxembourg,District de Grevenmacher,Remerschen,,luxembourg,luxembourg,luxembourg,avian,Suliformes,wild,Avian other,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026245,A/Canada goose/Luxembourg/22012198/2022,H5N1,Europe / Luxembourg / District de Grevenmacher / Wintrange,canada_goose,17/01/2022,wild,2.3.4.4b,TRUE,2022.044,2022,2022-01,17,2022.3,Europe,Luxembourg,District de Grevenmacher,Wintrange,,luxembourg,luxembourg,luxembourg,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13026246,A/Barnacle goose/Luxembourg/22033922/2022,H5N1,Europe / Luxembourg / District de Diekirch / Alscheid,barnacle_goose,04/02/2022,wild,2.3.4.4b,TRUE,2022.093,2022,2022-02,35,2022.6,Europe,Luxembourg,District de Diekirch,Alscheid,,luxembourg,luxembourg,luxembourg,avian,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13116131,A/Chicken/BC/FAV-0346-OS/2022,H5N1,North America / Canada / British Columbia,chicken,29/04/2022,domestic,2.3.4.4b,TRUE,2022.323,2022,2022-04,119,2022.18,North America,Canada,British Columbia,,,bc,british_columbia,british_columbia,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,8,1,1,1,2,1,1,1,8_1_1_1_2_1_1_1,H5N1/2022/R2_NAmerica,4
EPI_ISL_13156686,A/duck/Bangladesh/17D1854/2022,H5N1,Asia / Bangladesh,duck,13/02/2022,,2.3.2.1a,TRUE,2022.118,2022,2022-02,44,2022.7,Asia,Bangladesh,,,,bangladesh,bangladesh,bangladesh,duck,Anseriformes,domestic,Anseriformes domestic,13,5,75,7,1,13,7,6,13_5_75_7_1_13_7_6,NA,38
EPI_ISL_13157288,A/duck/Bangladesh/19D1859/2022,H5N1,Asia / Bangladesh,duck,23/02/2022,,2.3.2.1a,TRUE,2022.145,2022,2022-02,54,2022.8,Asia,Bangladesh,,,,bangladesh,bangladesh,bangladesh,duck,Anseriformes,domestic,Anseriformes domestic,13,5,10,7,1,13,7,6,13_5_10_7_1_13_7_6,H5N1/2020/R4_Asia,38
EPI_ISL_13243350,A/duck/Bangladesh/19D1874/2022,H5N1,Asia / Bangladesh,duck,09/03/2022,,2.3.4.4b,TRUE,2022.184,2022,2022-03,68,2022.1,Asia,Bangladesh,,,,bangladesh,bangladesh,bangladesh,duck,Anseriformes,domestic,Anseriformes domestic,59,1,1,1,1,1,1,1,59_1_1_1_1_1_1_1,NA,19
EPI_ISL_13246657,A/chicken/Iceland/2022AI02565/2022,H5N1,Europe / Iceland / South ,chicken,14/04/2022,domestic,2.3.4.4b,TRUE,2022.282,2022,2022-04,104,2022.15,Europe,Iceland,South ,,,iceland,iceland,iceland,chicken,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13300319,A/brant goose/Netherlands/22009881-002/2022,H5N1,Europe / Netherlands / Provincie Friesland,brant_goose,26/05/2022,,2.3.4.4b,TRUE,2022.397,2022,2022-05,146,2022.21,Europe,Netherlands,Provincie Friesland,,,netherlands,netherlands,netherlands,branta_bernicla,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13300324,A/white stork/Netherlands/22009973-002/2022,H5N1,Europe / Netherlands / Provincie Gelderland,white_stork,27/05/2022,,2.3.4.4b,TRUE,2022.4,2022,2022-05,147,2022.22,Europe,Netherlands,Provincie Gelderland,,,netherlands,netherlands,netherlands,other_avian,Ciconiiformes,wild,Avian other,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369398,A/buzzard/England/107870/2021,H5N1,Europe / United Kingdom / England,buzzard,02/11/2021,,2.3.4.4b,TRUE,2021.836,2021,2021-11,306,2021.44,Europe,United Kingdom,England,,,england,england,United Kingdom,buteo_buteo,Accipitriformes,wild,Avian other,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369399,A/pheasant/England/107851/2021,H5N1,Europe / United Kingdom / England,pheasant,02/11/2021,,2.3.4.4b,TRUE,2021.836,2021,2021-11,306,2021.44,Europe,United Kingdom,England,,,england,england,United Kingdom,phasianus_colchicus,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13369400,A/Herring_gull/Wales/054692/2021,H5N1,Europe / United Kingdom / Wales,herring_gull,02/11/2021,,2.3.4.4b,TRUE,2021.836,2021,2021-11,306,2021.44,Europe,United Kingdom,Wales,,,wales,wales,United Kingdom,larus_argentatus,Charadriiformes,wild,Charadriiformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369401,A/mute_swan/England/243602/2021,H5N1,Europe / United Kingdom / England,mute_swan,03/11/2021,,2.3.4.4b,TRUE,2021.838,2021,2021-11,307,2021.44,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369740,A/Mute_swan/England/385335/2021,H5N1,Europe / United Kingdom / England,mute_swan,03/11/2021,,2.3.4.4b,TRUE,2021.838,2021,2021-11,307,2021.44,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13369741,A/whooper_swan/England/055405/2021,H5N1,Europe / United Kingdom / England,whooper_swan,05/11/2021,,2.3.4.4b,TRUE,2021.844,2021,2021-11,309,2021.45,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_cygnus,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369742,A/mute_swan/England/298902/2021,H5N8,Europe / United Kingdom / England,mute_swan,07/11/2021,,2.3.4.4b,TRUE,2021.849,2021,2021-11,311,2021.45,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_13369743,A/mallard/England/056080/2021,H5N1,Europe / United Kingdom / England,mallard,08/11/2021,,2.3.4.4b,TRUE,2021.852,2021,2021-11,312,2021.45,Europe,United Kingdom,England,,,england,england,United Kingdom,anas_platyrhynchos,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369744,A/barnacle_goose/England/292151/2021,H5N1,Europe / United Kingdom / England,barnacle_goose,08/11/2021,,2.3.4.4b,TRUE,2021.852,2021,2021-11,312,2021.45,Europe,United Kingdom,England,,,england,england,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369745,A/chicken/England/056017/2021,H5N1,Europe / United Kingdom / England,chicken,10/11/2021,,2.3.4.4b,TRUE,2021.858,2021,2021-11,314,2021.45,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369746,A/chicken/England/057016/2021,H5N1,Europe / United Kingdom / England,chicken,12/11/2021,,2.3.4.4b,TRUE,2021.863,2021,2021-11,316,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369747,A/Barnacle_goose/England/108089/2021,H5N1,Europe / United Kingdom / England,barnacle_goose,12/11/2021,,2.3.4.4b,TRUE,2021.863,2021,2021-11,316,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369748,A/mute_swan/England/108094/2021,H5N1,Europe / United Kingdom / England,mute_swan,12/11/2021,,2.3.4.4b,TRUE,2021.863,2021,2021-11,316,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369753,A/barnacle_goose/Scotland/292583/2021,H5N1,Europe / United Kingdom / Scotland,barnacle_goose,12/11/2021,,2.3.4.4b,TRUE,2021.863,2021,2021-11,316,2021.46,Europe,United Kingdom,Scotland,,,scotland,scotland,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369754,A/mute_swan/England/243983/2021,H5N1,Europe / United Kingdom / England,mute_swan,13/11/2021,,2.3.4.4b,TRUE,2021.866,2021,2021-11,317,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369755,A/Pink-footed_goose/England/243989/2021,H5N1,Europe / United Kingdom / England,pink-footed_goose,13/11/2021,,2.3.4.4b,TRUE,2021.866,2021,2021-11,317,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,anser_brachyrhynchus,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369756,A/mute_swan/England/244029/2021,H5N1,Europe / United Kingdom / England,mute_swan,14/11/2021,,2.3.4.4b,TRUE,2021.868,2021,2021-11,318,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369757,A/mallard/Scotland/057554/2021,H5N1,Europe / United Kingdom / Scotland,mallard,14/11/2021,,2.3.4.4b,TRUE,2021.868,2021,2021-11,318,2021.46,Europe,United Kingdom,Scotland,,,scotland,scotland,United Kingdom,anas_platyrhynchos,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369758,A/mute_swan/England/292632/2021,H5N1,Europe / United Kingdom / England,mute_swan,15/11/2021,,2.3.4.4b,TRUE,2021.871,2021,2021-11,319,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13369759,A/chicken/England/058797/2021,H5N1,Europe / United Kingdom / England,chicken,16/11/2021,,2.3.4.4b,TRUE,2021.874,2021,2021-11,320,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369760,A/pink_footed_goose/Scotland/058488/2021,H5N1,Europe / United Kingdom / Scotland,pink_footed_goose,16/11/2021,,2.3.4.4b,TRUE,2021.874,2021,2021-11,320,2021.46,Europe,United Kingdom,Scotland,,,scotland,scotland,United Kingdom,anser_brachyrhynchus,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369761,A/Kestrel/Scotland/058512/2021,H5N1,Europe / United Kingdom / Scotland,kestrel,16/11/2021,,2.3.4.4b,TRUE,2021.874,2021,2021-11,320,2021.46,Europe,United Kingdom,Scotland,,,scotland,scotland,United Kingdom,falco_tinnunculus,Falconiformes,wild,Avian other,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369762,A/barnacle_goose/England/061307/2021,H5N1,Europe / United Kingdom / England,barnacle_goose,17/11/2021,,2.3.4.4b,TRUE,2021.877,2021,2021-11,321,2021.46,Europe,United Kingdom,England,,,england,england,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369763,A/turkey/England/059231/2021,H5N1,Europe / United Kingdom / England,turkey,19/11/2021,,2.3.4.4b,TRUE,2021.882,2021,2021-11,323,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,meleagris_gallopavo,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369764,A/domestic_goose/England/059141/2021,H5N1,Europe / United Kingdom / England,domestic_goose,19/11/2021,,2.3.4.4b,TRUE,2021.882,2021,2021-11,323,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,anser_anser_domesticus,Anseriformes,domestic,Anseriformes domestic,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369765,A/barnacle_goose/Scotland/062003/2021,H5N1,Europe / United Kingdom / Scotland,barnacle_goose,19/11/2021,,2.3.4.4b,TRUE,2021.882,2021,2021-11,323,2021.47,Europe,United Kingdom,Scotland,,,scotland,scotland,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369766,A/barnacle_goose/Scotland/062007/2021,H5N1,Europe / United Kingdom / Scotland,barnacle_goose,19/11/2021,,2.3.4.4b,TRUE,2021.882,2021,2021-11,323,2021.47,Europe,United Kingdom,Scotland,,,scotland,scotland,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369767,A/turkey/England/059407/2021,H5N1,Europe / United Kingdom / England,turkey,20/11/2021,,2.3.4.4b,TRUE,2021.885,2021,2021-11,324,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,meleagris_gallopavo,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369768,A/turkey/England/059498/2021,H5N1,Europe / United Kingdom / England,turkey,20/11/2021,,2.3.4.4b,TRUE,2021.885,2021,2021-11,324,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,meleagris_gallopavo,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369769,A/chicken/England/59973/2021,H5N1,Europe / United Kingdom / England,chicken,20/11/2021,,2.3.4.4b,TRUE,2021.885,2021,2021-11,324,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369770,A/common_buzzard/England/300284/2021,H5N1,Europe / United Kingdom / England,common_buzzard,20/11/2021,,2.3.4.4b,TRUE,2021.885,2021,2021-11,324,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,buteo_buteo,Accipitriformes,wild,Avian other,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369771,A/turkey/England/059870/2021,H5N1,Europe / United Kingdom / England,turkey,21/11/2021,,2.3.4.4b,TRUE,2021.888,2021,2021-11,325,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,meleagris_gallopavo,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369772,A/chicken/England/061210/2021,H5N1,Europe / United Kingdom / England,chicken,22/11/2021,,2.3.4.4b,TRUE,2021.89,2021,2021-11,326,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369773,A/chicken/England/061529/2021,H5N1,Europe / United Kingdom / England,chicken,22/11/2021,,2.3.4.4b,TRUE,2021.89,2021,2021-11,326,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369774,A/black-headed_gull/England/386075/2021,H5N1,Europe / United Kingdom / England,black-headed_gull,22/11/2021,,2.3.4.4b,TRUE,2021.89,2021,2021-11,326,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,chroicocephalus_ridibundus,Charadriiformes,wild,Charadriiformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369775,A/peafowl/England/061723/2021,H5N1,Europe / United Kingdom / England,peafowl,23/11/2021,,2.3.4.4b,TRUE,2021.893,2021,2021-11,327,2021.47,Europe,United Kingdom,England,,,england,england,United Kingdom,pavo_cristatus,Galliformes,domestic,Galliformes,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369776,A/greylag_goose/Northern_Ireland/17077/2021,H5N1,Europe / United Kingdom / Northern Ireland,greylag_goose,24/11/2021,,2.3.4.4b,TRUE,2021.896,2021,2021-11,328,2021.47,Europe,United Kingdom,Northern Ireland,,,northern_ireland,northern_ireland,United Kingdom,anser_anser,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_13369777,A/chicken/England/062137/2021,H5N1,Europe / United Kingdom / England,chicken,25/11/2021,,2.3.4.4b,TRUE,2021.899,2021,2021-11,329,2021.48,Europe,United Kingdom,England,,,england,england,United Kingdom,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,1,1,2,1,1,1,1,1,1_1_2_1_1_1_1_1,H5N1/2021/R2_Europe,3
EPI_ISL_13369778,A/mute_swan/Northern_Ireland/17176/2021,H5N1,Europe / United Kingdom / Northern Ireland,mute_swan,25/11/2021,,2.3.4.4b,TRUE,2021.899,2021,2021-11,329,2021.48,Europe,United Kingdom,Northern Ireland,,,northern_ireland,northern_ireland,United Kingdom,cygnus_olor,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369779,A/barnacle_goose/England/293824/2021,H5N1,Europe / United Kingdom / England,barnacle_goose,26/11/2021,,2.3.4.4b,TRUE,2021.901,2021,2021-11,330,2021.48,Europe,United Kingdom,England,,,england,england,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
EPI_ISL_13369780,A/barnacle_goose/England/293809/2021,H5N1,Europe / United Kingdom / England,barnacle_goose,26/11/2021,,2.3.4.4b,TRUE,2021.901,2021,2021-11,330,2021.48,Europe,United Kingdom,England,,,england,england,United Kingdom,branta_leucopsis,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2
